MOFname,smi
"mof_unit_pretest_515.cif
",[C]1(C2=CC(=[C]C(=C2OCC)[CH])[C]OCC)O[Zn]23(N4[CH]C(=[C]C(=C4)[CH])[CH])O[C](C4=C(C(=[C]C(=C4)[C]OCC)[CH])OCC)O[Zn](N4[CH]C(=[C]C(=C4)[CH])[CH])(O1)(O[C](c1c(cc(cc1OCC)C(=[N])[N])OCC)O3)O[C](c1c(cc(cc1OCC)C(=[N])[N])OCC)O2
"mof_unit_pretest_516.cif
",C(=C1O[Zn]23(N([C]OC)[C]OC)OC(=C([CH])[CH])O[Zn](N([C]OC)[C]OC)(O1)(O[C](c1c(c(c(/C(=[C]\O[CH2])/[C]OC)c(c1S([O])([O])O)OC)OC)S([O])([O])O)O3)O[C](c1c(c(c(/C(=[C]\O[CH2])/[C]OC)c(c1S([O])([O])O)OC)OC)S([O])([O])O)O2)([CH])[CH].[H].[H]
"mof_unit_pretest_517.cif
",[C]1([C@]23[C@@H]4[C@@H]5[C@H]2[C]2[C]3[C@H]4[C@]52[C]([O])[O])O[Cr]234O[C]([C@]56[C@H]7[C@H]8[C@@]6([C]6[C@@]5([C@@H]7[C@@]86C(=O)[O])I)I)O[Cr]5(O[C]([C@]67[C@@H]8[C@@H]9[C@]6([C@@H]6[C@H]7[C@H]8[C@]96[C](O[Cr]O[Cr])O[Cr])F)O[Cr@](O1)(O[C](C#CC(=O)[O])O5)O[C](C#CC(=O)[O])O4)(O[C](C#CC(=O)[O])O3)O2.[H].[H].[H]
"mof_unit_pretest_518.cif
",[C]1([C](C=[CH])[C]([C])/C=C\[C])O[Zn]23(N4[CH][C]=[C]C=C4)O[C](C4=CC(=[C]C=C4)[C]C=[CH])O[Zn](N4[CH]C=[C][C]=C4/C=[C]/F)(O1)(O[C](/C(=C/[CH])/[CH][C])O2)O[C](C1=CC=[C]C(=C1)[C]C(=[CH])CC)O3.[CH].[H]
"mof_unit_pretest_519.cif
",[C]1(c2ccc(/C(=[C]\OC[CH]C)/[CH])cc2)O[Cu]234([Cu](N5[C](C=C(C=C5F)/C(=[C]\F)/[C]OCCC)OCCC)(O[C](c5ccc(/C(=[C]\OC[CH]C)/[CH])cc5)O2)(O1)(O[C](/C(=C(/[C])\F)/[CH][C])O4)O[C](/C(=C(/[C])\F)/[CH][C])O3)N1[C](C=C(C=C1F)/C(=[C]\F)/[C]OC[C][CH2])OCCC.[H].[H].[H].[O]C[C]C.[H].[H].[O][CH]CC.[H].[H].[H]
"mof_unit_pretest_52.cif
",[C]([C]/[C]=C/C(=[C]/SO)/S([O])([O])O)O[Zn]([O])([O])O[C][C].[C](/[C]=[C]\C=C(/[C]SO)\S([O])([O])O)O[Zn]([O])(O[C]C#[C])[O].[C]([C]C1=[C]C(=C(C(=C1)[S@@]([O])O)[S]=O)S([O])([O])O)O[Zn]([O])(O[C]C#CC#C[C][O])[O].[C]([C]C1=CC(=C(C(=[C]1)S([O])([O])O)[S]=O)[S@@]([O])O)O[Zn]([O])([O])O[C]C#CC#C[C][O].[C](=O)[C]c1cc(c(c(c1/[C]=[C]\O[Zn]([O])(O[C][C]c1c([C][C]=O)cc(c(c1S([O])([O])O)S([O])([O])O)S([O])([O])O)[O])S([O])([O])O)S([O])([O])O)S([O])([O])O.[C](=O)[C]c1cc(c(c(c1/[C]=[C]\O[Zn](O[C][C]c1c([C][C]O[Zn])cc(c(c1S([O])([O])O)S([O])([O])O)S([O])([O])O)([O])[O])S([O])([O])O)S([O])([O])O)S([O])([O])O.[C]/C=[C]/S([O])([O])O.[C]1=CC(=C(C(=C1[C])S([O])([O])O)[S]([O])[O])[S@@]([O])O.[C]/C=C(\[C])/S([O])([O])O.[C]1=C([C])C(=C(C(=C1)[S@@]([O])O)[S]([O])[O])S([O])([O])O.[C]1=CC(=C(C(=[C]1)S([O])([O])O)S([O])([O])O)S([O])([O])O.[C]1=CC(=C(C(=[C]1)S([O])([O])O)S([O])([O])O)S([O])([O])O.[C]1=[C]C(=C(C(=C1)S([O])([O])O)S([O])([O])O)S([O])([O])O.[C]1=[C]C(=C(C(=C1)S([O])([O])O)S([O])([O])O)S([O])([O])O.[C]([C]=O)[C][C]S([O])([O])O.[C](=[C]\O[Zn])\[C][C]([C][S]([O])[O])S([O])([O])O.[C]=O.[C]=O.[C](C#C[C])[O].[C](C#[C])[O].[C]([C])S([O])([O])O.[C]([C])S([O])([O])O.[O].[O][Zn].[O].[O].[O].[O].[O][Zn].[O][Zn].[O][Zn].[O].[O].[O].[O].[O].[O].[O].[O].[O].[OH].[OH].[O].[OH].[O].[OH].[O].[O].S(=O)=O.[OH].[OH]
"mof_unit_pretest_520.cif
",[P](O[Ba]O[P@@](=O)(OC[C@@H]([C]=O)N(=O)=O)C1=CC(=C([C]=C1)[CH])P(=O)([O])[O])O[C]N(=O)=O.[O].[O][P@](=O)(O[C@@H](CC=O)N(=O)=O)[C]1[CH][C]=[C]C(=C1)[C].[CH][CH2].[H].[C@](C)(O[P@@](=O)([O])/[C]=C/[C][CH])(C=O)N(=O)=O.[H].[CH2].O=[P@@]([O])(O[C@@H](CC=O)N(=O)=O)/C(=[C]\N(=O)=O)/[CH].P(O[Ba]O[P@](=O)(OC(CN(=O)=O)(C=O)C=O)C1=C([C]=C[C]=C1[CH])C=O)([O])O[C@H](CN(=O)=O)[C]=O.[H].[CH]=O.[H].[CH]=O.[H].[CH]=O
"mof_unit_pretest_521.cif
",[C]1(/C(=[C]\NC)/I)O[Cu]234([Cu](N[CH])(O1)(O/C(=C(/[C]C=[CH])\[C]NC)/O2)(O/C(=C\[CH])/O3)O/C(=C(/[C][CH][C])\[CH])/O4)N[CH].[CH2][NH].[H]
"mof_unit_pretest_522.cif
",O(C(=O)c1cccc2c1cc(c1ccc(C(=O)O[V]([O])OC(=O)C3=[C][C]=C(C=C3)[CH])cc21)N(=O)=O)[V]12(OC(=O)C3=CC=C([C]=[C]3)[CH])([O])O[C](O[V](O[C](O1)C1=CC=C([C]=[C]1)[CH])O2)c1cc2c3cccc(C(=O)[O])c3cc(c2cc1)N(=O)=O.[O]C(=O)C1=[C][C]=C(C=C1)[CH].[V]=O.[H].[H].[H].[H].[H].[H].[C]#N.[C]#N
"mof_unit_pretest_523.cif
",[C]1(C(=[CH])[C]/C=[C]/[N])O[Zn]23(N(/[C]=C/[CH])[CH])O[C]([C@@]([CH2])([CH]C4=C[C]=[C][C]=C4)[CH]C(=[CH])C=[CH])O[Zn](N(/[C]=C/[CH])[C]NC)(O1)(O[C](/C(=[C]\N[CH2])/[C][C]([CH])NC)O2)O[C](C([CH]N[CH2])([CH2])[CH2])O3.[CH2].[CH]=[CH].[H].[H].[H].[H].[H].[H].[H]
"mof_unit_pretest_524.cif
",[C]1([C])O[Zn]2O/C(=C(\[CH])/[C]C3=[C][C]=C(C=C3)[CH2])/O[Zn]3O[C]([C])O[Zn@@]4(O[Zn@@](O/C(=C(\[CH])/[C]C5=CC=C([CH2])[C]=[C]5)/O2)(O[C]([C])O4)O/C(=C(/[CH])\[C]C2=[C][C]=C([CH2])C=C2)/O3)O1.C1=CC(=[C][C]=C1[CH2])[C]/C(=C\1/O[Zn@]23O[C]([C])O[Zn@@]4(O2)O[C]([C])O[Zn](O/C(=C(\[CH])/[C]C2=CC=C([CH2])[C]=[C]2)/O[Zn](O/C(=C(\[CH])/[C]C2=CC=C([CH2])[C]=[C]2)/O3)O[C]([C])O4)O1)/[CH].[C]1=CC=CC=[C]1.[C]1=[C]C=CC=C1.[C]1=CC=CC=[C]1.[CH2].[CH2].[CH2].[CH2].[CH2].[CH2].C1=CC=C[C]=[C]1.C1=[C][C]=CC=C1.C1=[C][C]=CC=C1.[H].[H].[H].[H].[H].[H].[H].[H].[H].[H].[H].[H].[H].[H].[H].[H].[H].[H]
"mof_unit_pretest_525.cif
",[C]1(c2ccc(c(c2)OCC)[N])O[Cu]234([Cu](N5[CH]C=C(C(=C5)OCC)[N])(O1)(O[C](C([CH]O[CH]C)([CH2])[CH2])O2)(O[C](c1c(cc(cc1S([O])([O])O)[N])S([O])(O)[O])O3)O[C](C([CH2])([CH2])[CH]OCC)O4)N1[CH]C(=C(C=C1)[N])S([O])([O])O.[H]
"mof_unit_pretest_526.cif
",C1(=C([CH])[CH])O[Cu]234([Cu](N([C]O)[CH])(O1)(O[C](C([CH2])([CH2])[CH2])O2)(OC(=C([CH])[CH])O3)O[C](C([CH]O)([CH]O)[CH2])O4)N([CH])[C]O
"mof_unit_pretest_527.cif
",C\1(=C(/[C][CH2])\[CH])/O[Cu]234([Cu](N([C][CH2])[CH])(O1)(O[C]([C])O2)(O/C(=C(\[CH])/[C][CH2])/O3)O[C]([C])O4)N([C][CH2])[C]OC[CH].[CH].[H].[H].[H]
"mof_unit_pretest_528.cif
",[C]1(C(=[CH])[C][CH2])O[Zn]23(N([CH])[C][C](C[CH2])CC)O[C](C#C[C])O[Zn](N([C][CH2])[CH])(O1)(O[C](/C(=[C]\CC)/[C][CH2])O2)O[C](C#C[C])O3.[H]
"mof_unit_pretest_529.cif
",[C]([C])O[Zn](NN[Zn]([O])(O[C][C])([O])O[C]C1=[C]C=[C]C(=C1)[C]C=[CH])([O])([O])O[C]/[C]=C/C(=[C]\[C])/[C]C=[CH].[C]C=O.[CH]=O.[H].[H].[H]
"mof_unit_pretest_53.cif
",[C]1(c2cc(c(c(c2)C)C(=[CH])[CH])C)O[Cu]234([Cu](N5[C](C=C(C=C5NC)/C(=[C]\NC)/[C]NC)NC)(O[C](c5cc(c(c(c5)C)C(=[CH])[CH])C)O2)(O1)(O[C]([C])O4)O[C]([C])O3)N1[C](C=C(C=C1NC)/C(=[C]\NC)/[C]NC)NC
"mof_unit_pretest_530.cif
",[C]1(C2=CC(=[C]C(=C2)O[CH])OC[CH2])O[Zn]23(N4[CH]C(=[C]C(=C4)O[CH2])O[CH])O[C](C4=CC(=[C]C(=C4)O[CH])OC[CH2])O[Zn](N4[CH]C(=[C]C(=C4)O[CH])O[CH][CH2])(O1)(O[C](c1c(cc(cc1OCC)[C])OCC)O3)O[C](c1c(cc(cc1OCC)[C])OCC)O2.[H].[H].[H].[CH3].[H].[CH3].[H].[H].[H].[CH2].[H].[H].[CH2].[H].[CH].[H].[H]
"mof_unit_pretest_531.cif
",C\1(=C\[CH])/O[Zn]23(N[CH])O[C](C4=C(C(=[C]C(=C4)[CH])[CH])OCC[CH])O[Zn](N[CH])(O1)(O[C](C=[CH])O2)O[C](C1=CC(=[C]C(=C1)[CH])[CH])O3.[H].[H]
"mof_unit_pretest_532.cif
",[C]1(C(=[CH])[C][CH2])O[Cu]234([Cu](N([C][C](C=O)C=O)[CH])(O1)(O[C]([C])O2)(O[C](C(=[CH])[C][C](C=O)C=O)O3)O[C]([C])O4)N([C][CH]C=O)[C]C=O.[H].[H]
"mof_unit_pretest_533.cif
",O(C(=O)[C]C1=C(C=[C][C]=[C]1)F)[V]12(OC(=O)[C@@]34[C][CH][C@@](C(=O)O[V]([O])OC(=O)[C]C5=[C][C]=C(C(=C5)F)F)([C@H](C3)N)CC4)([O])O[C](O[V](O[C](O1)[C@]13[CH][C][C@](C(=O)[O])(C[C@@H]1N)CC3)O2)[C]C1=CC(=[C][C]=[C]1)F.[O]C(=O)[C]C1=[C][C]=CC=C1F.[V]=O.[H].[H].[H].[H].[H].[H].[H].[H].[H].[F].[F].[F]
"mof_unit_pretest_534.cif
",O=C(O[Cu@@](O[C]C#[C])([O])N1C=Cc2c(=C1)c1c(cc2)c2=C(N([Cu@@]([O])(OC(=O)C3=C([C]=[C]C(=C3C(=O)O)[C]C=[CH])[C][O])O[C]C#C[C]([CH][C]=O)[C]N(=O)=O)C=Cc2c(c1C(=O)O)C(=O)O)N(=O)=O)C1=CC(=[C]C(=C1[C][O])[N][O])[C]/C=[C]/N(=O)=O.[CH2][C][CH]C(=O)O.[CH]N(=O)=O.[CH2].[H].[OH].[O].[H].[O].[O].[H].[N]([O])[O]
"mof_unit_pretest_535.cif
",C1(=[C])O[Zn]23([N])OC(=[C])O[Zn]([N])(O1)(O[C](c1c(cc(cc1OC[CH])[C])OC[CH])O3)O[C](c1c(cc([C])cc1OC[CH])OC[CH])O2.[CH3].[CH3].[CH2].[CH2].[H].[H].[H].[H].[H].[H]
"mof_unit_pretest_536.cif
",C(=O)(C1=C(C(=[C][C]=C1)[C]C=[CH])C)O[Cu@@](N1C=Cc2c(=C1)c1c(c(c2)OCCC)c2=CN(C(=Cc2cc1C)OCCC)[Cu@@]([O])(OC(=O)C1=C[C]=[C]C(=C1)[C]C=[CH])O[C]C#C[C]([CH])[C]([CH2])OC[CH][CH2])(O[C])[O].[CH2][C](C#[C])[CH].[CH2].[CH2].[H].[H].[H].[H].[H].[H].[H]
"mof_unit_pretest_537.cif
",[C]1([C])O[Zn]23([N])O[C]([C])O[Zn]([N])(O1)(O[C](c1cc(c(c(c1N)Cl)N1C(=O)C4=C5C(=CC=[C]C5=[C]C=C4[N])C1=O)Cl)O3)O[C](c1cc(c(c(c1N)Cl)N1C(=O)C3=C(C=[C]C4=[C]C=CC(=C34)C1=O)[NH])Cl)O2.[H].[H].[H].[H].[H].[N].[H].[H].[N].[H].[H]
"mof_unit_pretest_538.cif
",C(=[C]\C1=[C]C(=[C]C=[C]1)[CH])/N=[Ni@@]([N][CH])([N]/C=[C]/[C]1[C]2[C]([C]([C]/C=N/[Ni][N][C]([C]/C(=[C]\[O])/C=C(\[C])/OC)S([O])([O])O)[C]([C]1S([O])([O])O)S([O])([O])O)CC2)N1[CH]C(=CN1[Ni][N][CH])/C(=[C]\[O])/C=[C]/[C]OC.[C](=C\[N])/C(=[C]\OC)/C=C\[C].c1(cnn(c1OC)[Ni@](=N[C]OC)([N][C]OC)N=[CH])C(=[CH])/C=[C]/[CH].[C].[C]([N])[O].[CH2].[CH][N].[H].[CH3].[CH2].[H].S([O])O.[O].[CH].[H].[H]
"mof_unit_pretest_539.cif
",O1/C(=C(\[C]C(=[CH])Cl)/[CH])/O[Zn]23(O[C](O[Zn]1(O/C(=C(\[C]C=[CH])/[CH])/O2)(O[C](O3)c1ccc(N2C(=O)C3=CC=[C]C4=[C]C=CC(=C34)C2=O)cc1)N(/[C]=C/[CH])[CH])c1ccc(N2C(=O)C3=C4C(=CC=[C]C4=[C]C=C3)C2=O)cc1)N(/[C]=C/[CH])[CH]
"mof_unit_pretest_54.cif
",Br[C].Br[C].[Br].[Br].[C]1(/C=C/C=C/[C]2O[Cr]3(O[Cr]4O[C](C5=c6ccccc6=C([C]=[C]5)[C]5O[Cr]6O[Cr]7(O/C(=C\[CH])/O[Cr]([O])(O[C](/C=C/[CH][CH][C]8O[Cr]9%10%11O[Cr]%12(O8)(O[C](/C=C/C=C/[C]=O)O[Cr@@](OC(=[CH])O%12)(O[C]([CH])O%10)O[C]O9)O[C](C=[CH])O%11)O7)[O])(O[C](C=[C])O6)O5)O[Cr@](O/C(=C\[CH])/O3)(O[C](C=[C])O4)O2)([O])[O])O[Cr]234O[C]O[Cr]5(O[C]([CH])O3)(O2)O[C](/C=C/[CH][CH][C]=O)O[Cr@@](O1)(O[C](C=[CH])O4)OC(=[CH])O5.[C][C]/C=C\[C].C1=[C][C]=[C][C]=C1[C][C]=[CH].[CH]/C=C\[CH].[CH][C]=O.[CH][C]=O.[CH].[CH].[CH].[CH].[H].[H].[H].[H]
"mof_unit_pretest_540.cif
",[C]1(C(=[CH])[C]C=[CH])O[Cu]234([Cu](N([C]/C=[C]/F)[C]F)(O1)(O[C](c1ccc(cc1)[C])O2)(O[C](/C(=[C]\F)/[C]C=[CH])O3)O[C](c1cc(c(c(c1F)F)[C])F)O4)N([C]/C=[C]/F)[CH].[F].[H]
"mof_unit_pretest_541.cif
",[C]1(C2=C(C(=[C]C(=C2C#N)O[CH])OC[CH2])OCC)O[Zn]23(N4[CH]C(=[C]C=C4)OC[CH2])O[C]([C]([C]([C])/C=C\[C])[C]([C])OCC)O[Zn](N4[CH]C=[C][C]=C4)(O1)(O[C](C1=CC=[C]C(=C1)O[CH][CH2])O2)O/C(=C(/[C]([C])C#N)\[CH][C])/O3.[C]OCC.[H].[H].[H].[H].[H].[C]#N.[H].[H].[CH3]
"mof_unit_pretest_542.cif
",O1[C](O[V]2([O])(O[C](O[V]1(O[C]c1cc(c(c(c1)[C])[CH])I)(O[C][C])(O2)[O])/[C]=C/[C]=[C]\[CH])[O])[C].O1[C](O[V]2([O])(O[C](O[V]1(O[C]c1cc(c(c(c1)[C])[CH])I)(O[C][C])(O2)[O])/[C]=C/[C]=[C]\[CH])[O])[C].C(=[CH])([C]=[CH])I.C(=[CH])([C]=[CH])I.[CH].[CH]
"mof_unit_pretest_543.cif
",O1[C](O[V]2([O])(O[C](O[V]1(O[C]/[C]=C/C1=[C][C]=C(C(=C1Cl)O)[C]([C][C][O])Cl)(O[C]c1ccc(c3-c4c(c(cc(c4)[C][O])O)C(=[C]c13)O)Cl)(O2)[O])c1c(c2c3c(c1)[C]=[C]c1c3c(c(c2Cl)Cl)c(c(c1Cl)C(=O)[O])O)O)[O])c1ccc(c2c1c(c(c1c(cc(cc21)C(=O)O[V][O])O)O)Cl)Cl.[C](=[C]\[C](/C(=[C]/[C]O)/Cl)Cl)\O.[O][V][O].[O].[Cl].[OH].[Cl]
"mof_unit_pretest_544.cif
",[C]1(C2=C(C(=[C]C=C2)I)CC)O[Zn]23(N4[CH]C=[C]C=C4)O[C](C4=C(C(=[C]C=C4)I)CC)O[Zn](N4[CH]C=[C]C=C4)(O1)(O[C](C1=C([C]=[C]C(=C1)/[C]=C/[C]I)CC)O3)O[C](C1=CC(=[C][C]=C1CC)/[C]=C/[C]I)O2.[CH2][CH].[H].[H].[CH2][CH].[H].[H]
"mof_unit_pretest_545.cif
",[C]1(/C(=[C]\O)/[C]O)O[Zn]23(N([C]O)[C]O)O[C](/C(=[C]\O)/[C]O)O[Zn](N([C]O)[C]O)(O1)(O[C](C1=C(C(=[C]C(=C1)[C]O)[C]O)O)O3)O[C](C1=CC(=[C]C(=C1O)[C]O)[C]O)O2
"mof_unit_pretest_546.cif
",[C]1(c2c(cc(cc2)[C]2O[Cr@]34O[C](c5c(cc(cc5)[C]=O)O)O[Cr]56(O[Cr](O[C](C(=[CH])[CH])O6)(O[C](C(=[CH])[C]O)O3)(O[C](C3=CC=[C][C]=[C]3)O5)O2)O[C](C(=[CH])[C]O)O4)O)O[Cr]([O])([O])O[C]([C]([CH])[C]O)O[Cr]23(O[Cr](O[C](C4=C5CCC5=C([C]5O[Cr]67(O[Cr](O[C](C(=[CH])[C])O7)O5)O[C](c5c(cc(cc5)[C]5O[Cr@]78O[C]([C]/C(=C\[C][C]=O)/O)O[Cr]9%10(O[Cr](O[C]O%10)(O/C(=C(/[CH])\[C]O)/O7)(O[C]O9)O5)O[C]([C]([C])[C]O)O8)O)O[Cr]([O])([O])O[C](C(=[CH])[C]O)O6)[C]=[C]4)O2)O[C](C(=[CH])[C])O3)O1.[CH]=[CH].[CH]=[C][C].[CH][C]([C]O)[C]=O.[CH].[C]([C][C]=O)O.[CH2][CH2].[H].[H].[H].[H].[H].[H]
"mof_unit_pretest_547.cif
",[C]1(c2ccc(c3c2CC3)[C]2O[Cr]([O])([O])O[C]([C]([C][CH2])[C]F)O[Cr]34(O[C](C(=[CH])[C])O[Cr](O3)O[C](C3=[C][C]=C(c5ccccc35)[C]3O[Cr]5O[Cr]6(O[C]([C]([C][CH2])[C]F)O[Cr]([O])(O[C](c7c8c(c(cc7)[C]7O[Cr]9%10%11O[Cr]%12(O[C]([C][C]F)O[Cr@](O7)(O[C](C7=C%13C(=C([C]=[C]7)[C]=O)CC%13)O%12)O[C](C(=[CH])[C][CH2])O%11)(O[C](C(=[CH])[C])O%10)O[C]O9)CC8)O6)[O])(O[C]([C]([C])[CH])O5)O3)O4)O2)O[Cr]234O[C]([C]C5=C([C])C=CC=[C]5)O[Cr]5(O[C]O3)(O2)O[C](c2c3c(c([C]=O)cc2)CC3)O[Cr@](O1)(O[C](C(=[CH])[C][CH2])O4)O[C]([C]([C][CH])[C]F)O5.[CH]=[C][C].[CH].[CH2].[CH2].[CH2].[C](=O)[C]=[CH].[C](=O)C(=[CH])[C][CH].[C]1=[C][C]=C[C]=[C]1.[CH]/C=C\[CH].[C][CH2].[C][CH2].[H].[H].[H].[H].[H].[H].[H].[H].[H]
"mof_unit_pretest_548.cif
",O=C(O[V](O[C][C]C([CH])[CH])[O])c1cc(c(c(c1)[C])C(=[CH])C(=O)O)C(=O)[O].O=C(O[V](O[C][C]C([CH])[CH])[O])c1cc(c(c(c1)[C])C(=[CH])C(=O)O)C(=O)O.[O].[O].[O][V]([O])(O/[C]=[C]\[CH])O[C].[O][V]([O])(O/[C]=[C]\[CH])O[C]/[C]=C/[C]=[C]\C=C/[C](/C=C\[C])[C].[O].[O].C(=[CH])[C]/C=C\[C].[CH].[CH].[CH].[CH].[CH].[H]
"mof_unit_pretest_549.cif
",[C]1(C2=CC(=[C]C(=C2)[CH])[CH])O[Cr]234O[C](C5=CC(=[C]C(=C5)[CH])[CH])O[Cr]5(O[C](C6=CC(=[C]C(=C6)[CH])[CH])O4)(O3)O[C](C3=CC(=[C]C(=C3)[CH])[CH])O[Cr@@](O[C](C3=CC(=[C]C(=C3)[CH])[CH])O5)(O[C](c3cc4c5c6c(cc4)cc([C]4O[Cr@@]78O[C](C9=CC(=[C]C(=C9)[CH])[CH])O[Cr]9%10(O[C](C%11=CC(=[C]C(=C%11)[CH])[CH])O[Cr](O[C](C%11=CC(=[C]C(=C%11)[CH])[CH])O9)(O4)(O[C](C4=CC(=[C]C(=C4)[CH])[CH])O8)O%10)O[C](C4=CC(=[C]C(=C4)[CH])[CH])O7)cc6ccc5c3)O2)O1
"mof_unit_pretest_55.cif
",[C]1(/C(=C(/[C])\F)/[C]([C])OCCC)O[Zn]23(N([C]([C])F)[CH][C])O[C](/C(=C(/[C])\F)/[C]([C])OCCC)O[Zn](N([CH][C])[C]([C])F)(O1)(O[C](C#C[C])O3)O[C](C#C[C])O2.[CH][O].[CH]C.[CH](CC)[O].[CH]CC.[CH](CC)[O].[H].[H].[H].[H].[H].[H].[H].[O]
"mof_unit_pretest_550.cif
",O1[C](O[V]2(O[C](O[V]1(O2)(O[C][C]=[CH])(O[C][C])[O])[C][C@H]([C][C]=O)[CH])([O])[O])[C].O1[C](O[V]2(O[C](O[V]1(O2)(O[C][C]=[CH])(O[C][C])[O])[C][C@@H](/[C]=[C]\O)[CH])([O])[O])[C].[C](=[CH])I.[C](=[CH])I.[O].[O].[H]
"mof_unit_pretest_551.cif
",[C]1(c2c(c(c([C])c(c2F)CC[CH2])CCC)F)O[Zn]23(N4[C](C(=C(C(=C4F)CCC)[C])CC[CH])F)O[C]([C](/C(=C(/[C]([C])CCC)\F)/[C])[C]CCC)O[Zn](N4[C](C(=C([C])C(=C4F)F)CCC)F)(O1)(O[C](c1cc(c(cc1F)[C])CCC)O2)O[C]([C]([CH][C])[CH][C])O3.[CH]=[CH].[CH2][CH]C.[H].[H].[H].[H]
"mof_unit_pretest_552.cif
",O1[C](O[V]2([O])(O[C](O[V]1(O/[C]=[C]\C=C/[C][C])(O[C]C1=C(C(=[C][C]=C1)[C])C=O)(O2)[O])c1ccc(cc1)c1ccc(c2ccc([C]3O[V]4([O])(O[C](O[V](O/[C]=[C]\[CH]/C=[C]/[C])(O[C]/[C]=C/[CH]/C(=C/[C])/[C])(O3)(O4)[O])C(=[CH])[C]([C][C]/C=C\[C]=[CH])C=O)[O])cc2)cc1)[O])C(=[CH])[C]([C][C]/C=C\[C]=[CH])C=O.[C]C=O.[C].[C][CH].[H].[H].[H].[CH]=[CH].[CH]=[CH].[CH].[CH].[CH].[CH]
"mof_unit_pretest_553.cif
",Br/[C]=C(\[C]1O[Cu]234([Cu](N([C]C(=O)O)[C][CH2])(O[C](C(=[CH])[C][CH2])O2)(O/C(=C\[CH])/O3)(O[C](/C(=[C]\Br)/[C][CH2])O4)O1)N([C]C(=O)O)[C][CH]C(=O)O)/C(=O)[O].[H]
"mof_unit_pretest_554.cif
",[C](=O)C(=[CH])[C].[C](=O)C(=[CH])[C].C1(=C([CH])[CH])O[Cr]234O[C](C(=[CH])[CH])O[Cr@]5(O[C]O[Cr](O2)(O1)(O[C]O5)O[C](c1ccc(cc1CC)[C]1O[Cr]25(O[C](C6=[C][C]=C(C=C6)[C]6O[Cr]7O[Cr]8(O[C](C(=[CH])[CH])O[Cr@](O6)(O[C](c6ccc(c(c6)CC)[C]6O[Cr]9%10%11O[C](C(=[CH])[CH])O[Cr]%12(O[C](C(=[CH])/C=C\[C])O[Cr@@](OC(=C([CH])[CH])O%10)(O[C]O%12)O6)(O[C](C6=CC=C([C]=[C]6)[C]=O)O%11)O9)O8)O[C](C=[C])O7)([O])[O])O[Cr]O[C](C=[C])O2)O[Cr](O[C](C(=[CH])[CH])O5)([O])(O1)[O])O4)O[C](c1ccc(c(c1)[CH][CH2])[C]=O)O3.[CH].[CH].[CH].[CH].[CH].[H].[H].[H].[H].[H].[H].[H].[H].[H].[CH2]C
"mof_unit_pretest_555.cif
",[C]1(C2=CC(=[C]C(=C2)[C]N)[C]N)O[Zn]23(N4[C](C(=[C]C(=C4NC)[CH])[CH])NC)O[C](C4=CC(=[C]C(=C4)[C]N)[C]N)O[Zn](N4[C](C(=[C]C(=C4NC)[CH])[CH])NC)(O1)(O[C](C([CH])([CH])[CH])O3)O[C](C([CH])([CH])[CH])O2
"mof_unit_pretest_556.cif
",[O][Cu]([O])(O[C])(O[C]C1=CC(=[C][C]=[C]1)[C]C(=[CH])N(=O)=O)N1C=C(N([Cu](O/[C]=[C]\[CH])(O[C]C2=[C]C=[C]C(=C2)[C]C(=[CH])N(=O)=O)([O])[O])C2=C1CC2)N(=O)=O.[H].[H].[C][CH2].[CH][C].[C][CH]N(=O)=O.[N][O].[O]
"mof_unit_pretest_557.cif
",C\1(=C(/[C]C(=[CH])N)\[C]N)/O[Cu]234([Cu](N(/[C]=C/[C]N)[CH])(O1)(O[C](C([CH2])([CH2])[CH2])O2)(O/C(=C(/[C]C=[CH])\[CH])/O3)O[C](C([CH2])([CH2])[CH2])O4)N(/[C]=C/[CH])[C]N
"mof_unit_pretest_558.cif
",O1/C(=C(\[C][CH2])/[CH])/O[Zn]23(O/C(=C(/C=[CH])\[C]([C])/C=C\[C])/O[Zn]1(O/C(=C(/[C]N(=O)=O)\[C][CH]N(=O)=O)/O2)(O/C(=C(\[C]([C])N(=O)=O)/[CH][C])/O3)N([CH])[C][CH]N(=O)=O)N([C][CH2])[CH].[H].[CH]
"mof_unit_pretest_559.cif
",[O]C(=O)[C@@]12[C@H]([C@H]([C@@]([C]3O[Zn](O[C](O[Zn](O3)[N][CH2])[C@@]34[C@H]([C@H]([C@@]([C]5O[Zn](O[C](O[Zn](O5)[N][CH2])[C@]56[C@@H]([C@@H]([C@](C(=O)[O])([C@@H]([C@@H]5N(=O)=O)N(=O)=O)CC6)N(=O)=O)N(=O)=O)[N][CH2])([C@H]([C@H]3N(=O)=O)N(=O)=O)CC4)N(=O)=O)N(=O)=O)[N][CH2])([C@H]([C@H]1N(=O)=O)N(=O)=O)CC2)N(=O)=O)N(=O)=O.O=C([O])[C@@]12[C@H]([C@H]([C@@](C(=O)[O])([C@H]([C@H]1N(=O)=O)N(=O)=O)CC2)N(=O)=O)N(=O)=O.[CH2].[CH2].[CH].[CH].[CH2].[CH2].[H].[H].[H].[H].[CH].[CH]
